Date,Open,High,Low,Close,Adj Close,Volume,Close*,Adj Close**
2016-04-01,1232.300049,1235.199951,1209.199951,1222.199951,1222.199951,1602.0,,
2016-04-04,1221.699951,1222.300049,1215.0,1218.0,1218.0,2038.0,,
2016-04-05,1215.400024,1236.699951,1215.400024,1228.400024,1228.400024,477.0,,
2016-04-06,1230.400024,1230.400024,1217.599976,1222.5,1222.5,248.0,,
2016-04-07,1224.800049,1242.900024,1224.599976,1236.199951,1236.199951,375.0,,
2016-04-08,1241.0,1242.800049,1232.0,1242.5,1242.5,409.0,,
2016-04-11,1241.5,1258.699951,1241.5,1256.699951,1256.699951,437.0,,
2016-04-12,1260.0,1261.699951,1253.699951,1259.400024,1259.400024,185.0,,
2016-04-13,1256.5,1256.900024,1241.300049,1246.800049,1246.800049,203.0,,
2016-04-14,1231.400024,1243.699951,1224.5,1225.0,1225.0,264.0,,
2016-04-15,1225.699951,1235.0,1225.699951,1233.099976,1233.099976,97.0,,
2016-04-18,1238.699951,1241.099976,1232.199951,1233.599976,1233.599976,304.0,,
2016-04-19,1231.599976,1256.199951,1228.800049,1253.0,1253.0,386.0,,
2016-04-20,1256.099976,1256.099976,1243.0,1253.199951,1253.199951,180.0,,
2016-04-21,1247.699951,1270.599976,1247.599976,1249.0,1249.0,124.0,,
2016-04-22,1248.5,1248.5,1228.0,1228.699951,1228.699951,188.0,,
2016-04-25,1231.599976,1240.900024,1231.599976,1238.900024,1238.900024,442.0,,
2016-04-26,1239.800049,1244.199951,1233.0,1242.199951,1242.199951,97.0,,
2016-04-27,1248.599976,1249.5,1248.599976,1249.199951,1249.199951,547.0,,
2016-04-28,1245.900024,1270.099976,1238.5,1265.5,1265.5,887.0,,
2016-04-29,1267.300049,1295.5,1267.199951,1289.199951,1289.199951,464.0,,
2016-05-02,1292.099976,1304.400024,1290.400024,1294.699951,1294.699951,192.0,,
2016-05-03,1292.699951,1301.5,1284.5,1290.699951,1290.699951,151.0,,
2016-05-04,1286.900024,1290.0,1273.0,1273.300049,1273.300049,109.0,,
2016-05-05,1282.900024,1286.0,1270.800049,1271.400024,1271.400024,330.0,,
2016-05-06,1278.599976,1295.599976,1276.900024,1292.900024,1292.900024,305.0,,
2016-05-09,1286.5,1286.5,1262.300049,1265.599976,1265.599976,341.0,,
2016-05-10,1265.099976,1267.400024,1258.699951,1263.900024,1263.900024,23.0,,
2016-05-11,1266.900024,1279.199951,1266.900024,1274.599976,1274.599976,50.0,,
2016-05-12,1267.0,1281.199951,1264.0,1270.300049,1270.300049,101.0,,
2016-05-13,1271.400024,1275.699951,1264.599976,1271.900024,1271.900024,66.0,,
2016-05-16,1272.800049,1287.800049,1272.800049,1273.400024,1273.400024,44.0,,
2016-05-17,1272.5,1281.599976,1270.800049,1276.199951,1276.199951,16.0,,
2016-05-18,1276.400024,1276.400024,1256.800049,1273.699951,1273.699951,17.0,,
2016-05-19,1248.0,1255.5,1247.5,1254.199951,1254.199951,69.0,,
2016-05-20,1256.599976,1256.599976,1252.400024,1252.400024,1252.400024,44.0,,
2016-05-23,1251.599976,1251.599976,1247.5,1251.099976,1251.099976,56.0,,
2016-05-24,1240.0,1240.0,1228.199951,1228.900024,1228.900024,20.0,,
2016-05-25,1219.300049,1223.5,1218.599976,1223.5,1223.5,5.0,,
2016-05-26,1232.599976,1232.599976,1220.099976,1220.099976,1220.099976,199778.0,,
2016-05-27,1220.300049,1223.199951,1206.400024,1213.800049,1213.800049,63739.0,,
2016-05-31,1212.5,1217.599976,1199.0,1214.800049,1214.800049,6432.0,,
2016-06-01,1215.699951,1219.800049,1205.400024,1211.900024,1211.900024,2717.0,,
2016-06-02,1212.400024,1217.0,1209.599976,1209.800049,1209.800049,1627.0,,
