Date,Open,High,Low,Close,Adj Close,Ticker
4/1/2016,1232.300049,1235.199951,1209.199951,1222.199951,1222.199951,gold
4/4/2016,1221.699951,1222.300049,1215,1218,1218,gold
4/5/2016,1215.400024,1236.699951,1215.400024,1228.400024,1228.400024,gold
4/6/2016,1230.400024,1230.400024,1217.599976,1222.5,1222.5,gold
4/7/2016,1224.800049,1242.900024,1224.599976,1236.199951,1236.199951,gold
4/8/2016,1241,1242.800049,1232,1242.5,1242.5,gold
4/11/2016,1241.5,1258.699951,1241.5,1256.699951,1256.699951,gold
4/12/2016,1260,1261.699951,1253.699951,1259.400024,1259.400024,gold
4/13/2016,1256.5,1256.900024,1241.300049,1246.800049,1246.800049,gold
4/14/2016,1231.400024,1243.699951,1224.5,1225,1225,gold
4/15/2016,1225.699951,1235,1225.699951,1233.099976,1233.099976,gold
4/18/2016,1238.699951,1241.099976,1232.199951,1233.599976,1233.599976,gold
4/19/2016,1231.599976,1256.199951,1228.800049,1253,1253,gold
4/20/2016,1256.099976,1256.099976,1243,1253.199951,1253.199951,gold
4/21/2016,1247.699951,1270.599976,1247.599976,1249,1249,gold
4/22/2016,1248.5,1248.5,1228,1228.699951,1228.699951,gold
4/25/2016,1231.599976,1240.900024,1231.599976,1238.900024,1238.900024,gold
4/26/2016,1239.800049,1244.199951,1233,1242.199951,1242.199951,gold
4/27/2016,1248.599976,1249.5,1248.599976,1249.199951,1249.199951,gold
4/28/2016,1245.900024,1270.099976,1238.5,1265.5,1265.5,gold
4/29/2016,1267.300049,1295.5,1267.199951,1289.199951,1289.199951,gold
5/2/2016,1292.099976,1304.400024,1290.400024,1294.699951,1294.699951,gold
5/3/2016,1292.699951,1301.5,1284.5,1290.699951,1290.699951,gold
5/4/2016,1286.900024,1290,1273,1273.300049,1273.300049,gold
5/5/2016,1282.900024,1286,1270.800049,1271.400024,1271.400024,gold
5/6/2016,1278.599976,1295.599976,1276.900024,1292.900024,1292.900024,gold
5/9/2016,1286.5,1286.5,1262.300049,1265.599976,1265.599976,gold
5/10/2016,1265.099976,1267.400024,1258.699951,1263.900024,1263.900024,gold
5/11/2016,1266.900024,1279.199951,1266.900024,1274.599976,1274.599976,gold
5/12/2016,1267,1281.199951,1264,1270.300049,1270.300049,gold
5/13/2016,1271.400024,1275.699951,1264.599976,1271.900024,1271.900024,gold
5/16/2016,1272.800049,1287.800049,1272.800049,1273.400024,1273.400024,gold
5/17/2016,1272.5,1281.599976,1270.800049,1276.199951,1276.199951,gold
5/18/2016,1276.400024,1276.400024,1256.800049,1273.699951,1273.699951,gold
5/19/2016,1248,1255.5,1247.5,1254.199951,1254.199951,gold
5/20/2016,1256.599976,1256.599976,1252.400024,1252.400024,1252.400024,gold
5/23/2016,1251.599976,1251.599976,1247.5,1251.099976,1251.099976,gold
5/24/2016,1240,1240,1228.199951,1228.900024,1228.900024,gold
5/25/2016,1219.300049,1223.5,1218.599976,1223.5,1223.5,gold
5/26/2016,1232.599976,1232.599976,1220.099976,1220.099976,1220.099976,gold
5/27/2016,1220.300049,1223.199951,1206.400024,1213.800049,1213.800049,gold
5/31/2016,1212.5,1217.599976,1199,1214.800049,1214.800049,gold
6/1/2016,1215.699951,1219.800049,1205.400024,1211.900024,1211.900024,gold
6/2/2016,1212.400024,1217,1209.599976,1209.800049,1209.800049,gold
6/3/2016,1209.099976,1244.5,1206.400024,1240.099976,1240.099976,gold
6/6/2016,1244.400024,1247.300049,1240,1244.599976,1244.599976,gold
6/7/2016,1244,1244.900024,1236.5,1244.400024,1244.400024,gold
6/8/2016,1247.599976,1264,1247.300049,1259.800049,1259.800049,gold
6/9/2016,1262.5,1271.400024,1258.099976,1270.199951,1270.199951,gold
6/10/2016,1267.599976,1278,1265.300049,1273.400024,1273.400024,gold
6/13/2016,1276.199951,1287.300049,1273,1284.400024,1284.400024,gold
