city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Pike Creek,US,1612788541,39.7309,-75.7041,21.99,58,20,8.05
Batagay,RU,1612788752,67.6333,134.6333,-33.02,82,28,1.95
Salalah,OM,1612788752,17.0151,54.0924,78.8,65,20,13.8
Pocatello,US,1612788753,42.8713,-112.4455,30.2,55,1,17.27
Maningrida,AU,1612788753,-12.0667,134.2667,79.66,86,100,7.43
Alexandria,EG,1612788506,31.2156,29.9553,68.0,64,75,6.91
São Félix do Xingu,BR,1612788753,-6.6447,-51.995,79.57,83,61,3.71
Samarinda,ID,1612788583,-0.5,117.15,75.9,92,100,2.13
Vila,PT,1612788753,42.0304,-8.1588,46.99,96,100,11.01
Rundu,NA,1612788753,-17.9333,19.7667,81.43,61,30,8.3
Moïssala,TD,1612788754,8.3404,17.7663,99.0,8,97,7.65
Charlestown,AU,1612788754,-32.95,151.6667,71.01,91,91,6.91
Kailua,US,1612788754,21.4022,-157.7394,64.99,88,1,2.82
Touros,BR,1612788754,-5.1989,-35.4608,86.0,66,75,12.66
Otjiwarongo,NA,1612788754,-20.4637,16.6477,76.64,62,100,16.22
Konëvo,RU,1612788754,62.1215,39.3192,12.36,94,95,8.32
Ust'-Uda,RU,1612788755,54.1742,103.0304,12.36,94,86,3.67
Douentza,ML,1612788755,14.9951,-2.9517,92.19,11,86,7.31
Gazojak,TM,1612788755,41.1875,61.4036,47.14,52,0,10.87
Qui Nhon,VN,1612788755,13.7667,109.2333,73.89,82,99,9.73
Rocha,UY,1612788506,-34.4833,-54.3333,69.66,81,100,4.36
Kyra,RU,1612788755,49.5776,111.9753,10.74,88,0,3.09
Kurumkan,RU,1612788756,54.3,110.3,12.43,89,100,1.48
Dalvik,IS,1612788756,65.9702,-18.5286,32.0,80,75,6.91
Atherton,GB,1612788756,53.5237,-2.4935,37.99,60,11,5.01
Sørland,NO,1612788756,67.667,12.6934,33.8,80,40,16.84
Guerrero Negro,MX,1612788756,27.9769,-114.0611,53.01,88,0,2.59
Kirovskiy,RU,1612788756,45.0917,133.5136,-5.24,89,16,6.15
Antofagasta,CL,1612788663,-23.65,-70.4,66.2,77,0,11.5
Kashin,RU,1612788756,57.3592,37.6081,-2.0,92,24,2.93
Örnsköldsvik,SE,1612788757,63.2909,18.7153,23.0,80,90,6.91
Yangjiang,CN,1612788757,21.85,111.9667,66.76,72,97,3.29
Padang,ID,1612788757,-0.9492,100.3543,80.6,83,40,2.3
Pyapon,MM,1612788757,16.2833,95.6833,74.93,34,28,10.58
