Date,Open,High,Low,Close*,Adj Close**,Volume
2018-04-02,"2,633.45","2,638.30","2,553.80","2,581.88","2,581.88","3,598,520,000"
2018-04-03,"2,592.17","2,619.14","2,575.49","2,614.45","2,614.45","3,392,810,000"
2018-04-04,"2,584.04","2,649.86","2,573.61","2,644.69","2,644.69","3,350,340,000"
2018-04-05,"2,657.36","2,672.08","2,649.58","2,662.84","2,662.84","3,178,970,000"
2018-04-06,"2,645.82","2,656.88","2,586.27","2,604.47","2,604.47","3,299,700,000"
2018-04-09,"2,617.18","2,653.55","2,610.79","2,613.16","2,613.16","3,062,960,000"
2018-04-10,"2,638.41","2,665.45","2,635.78","2,656.87","2,656.87","3,543,930,000"
2018-04-11,"2,643.89","2,661.43","2,639.25","2,642.19","2,642.19","3,020,760,000"
2018-04-12,"2,653.83","2,674.72","2,653.83","2,663.99","2,663.99","3,021,320,000"
2018-04-13,"2,676.90","2,680.26","2,645.05","2,656.30","2,656.30","2,960,910,000"
2018-04-16,"2,670.10","2,686.49","2,665.16","2,677.84","2,677.84","3,019,700,000"
2018-04-17,"2,692.74","2,713.34","2,692.05","2,706.39","2,706.39","3,234,360,000"
2018-04-18,"2,710.11","2,717.49","2,703.63","2,708.64","2,708.64","3,383,410,000"
2018-04-19,"2,701.16","2,702.84","2,681.90","2,693.13","2,693.13","3,349,370,000"
2018-04-20,"2,692.56","2,693.94","2,660.61","2,670.14","2,670.14","3,388,590,000"
2018-04-23,"2,675.40","2,682.86","2,657.99","2,670.29","2,670.29","3,017,480,000"
2018-04-24,"2,680.80","2,683.55","2,617.32","2,634.56","2,634.56","3,706,740,000"
2018-04-25,"2,634.92","2,645.30","2,612.67","2,639.40","2,639.40","3,499,440,000"
2018-04-26,"2,651.65","2,676.48","2,647.16","2,666.94","2,666.94","3,665,720,000"
2018-04-27,"2,675.47","2,677.35","2,659.01","2,669.91","2,669.91","3,219,030,000"
2018-04-30,"2,682.51","2,682.87","2,648.04","2,648.05","2,648.05","3,734,530,000"
2018-05-01,"2,642.96","2,655.27","2,625.41","2,654.80","2,654.80","3,559,850,000"
2018-05-02,"2,654.24","2,660.87","2,631.70","2,635.67","2,635.67","4,010,770,000"
2018-05-03,"2,628.08","2,637.14","2,594.62","2,629.73","2,629.73","3,851,470,000"
2018-05-04,"2,621.45","2,670.93","2,615.32","2,663.42","2,663.42","3,327,220,000"
2018-05-07,"2,680.34","2,683.35","2,664.70","2,672.63","2,672.63","3,237,960,000"
2018-05-08,"2,670.26","2,676.34","2,655.20","2,671.92","2,671.92","3,717,570,000"
2018-05-09,"2,678.12","2,701.27","2,674.14","2,697.79","2,697.79","3,909,500,000"
2018-05-10,"2,705.02","2,726.11","2,704.54","2,723.07","2,723.07","3,333,050,000"
2018-05-11,"2,722.70","2,732.86","2,717.45","2,727.72","2,727.72","2,862,700,000"
2018-05-14,"2,738.47","2,742.10","2,725.47","2,730.13","2,730.13","2,972,660,000"
2018-05-15,"2,718.59","2,718.59","2,701.91","2,711.45","2,711.45","3,290,680,000"
2018-05-16,"2,712.62","2,727.76","2,712.17","2,722.46","2,722.46","3,202,670,000"
2018-05-17,"2,719.71","2,731.96","2,711.36","2,720.13","2,720.13","3,475,400,000"
2018-05-18,"2,717.35","2,719.50","2,709.18","2,712.97","2,712.97","3,368,690,000"
2018-05-21,"2,735.39","2,739.19","2,725.70","2,733.01","2,733.01","3,019,890,000"
2018-05-22,"2,738.34","2,742.24","2,721.88","2,724.44","2,724.44","3,366,310,000"
2018-05-23,"2,713.98","2,733.33","2,709.54","2,733.29","2,733.29","3,326,290,000"
2018-05-24,"2,730.94","2,731.97","2,707.38","2,727.76","2,727.76","3,256,030,000"
2018-05-25,"2,723.60","2,727.36","2,714.99","2,721.33","2,721.33","2,995,260,000"
2018-05-29,"2,705.11","2,710.67","2,676.81","2,689.86","2,689.86","3,736,890,000"
2018-05-30,"2,702.43","2,729.34","2,702.43","2,724.01","2,724.01","3,561,050,000"
2018-05-31,"2,720.98","2,722.50","2,700.68","2,705.27","2,705.27","4,235,370,000"
2018-06-01,"2,718.70","2,736.93","2,718.70","2,734.62","2,734.62","3,684,130,000"
2018-06-04,"2,741.67","2,749.16","2,740.54","2,746.87","2,746.87","3,376,510,000"
2018-06-05,"2,748.46","2,752.61","2,739.51","2,748.80","2,748.80","3,517,790,000"
2018-06-06,"2,753.25","2,772.39","2,748.46","2,772.35","2,772.35","3,651,640,000"
2018-06-07,"2,774.84","2,779.90","2,760.16","2,770.37","2,770.37","3,711,330,000"
2018-06-08,"2,765.84","2,779.39","2,763.59","2,779.03","2,779.03","3,123,210,000"
2018-06-11,"2,780.18","2,790.21","2,780.17","2,782.00","2,782.00","3,232,330,000"
2018-06-12,"2,785.60","2,789.80","2,778.78","2,786.85","2,786.85","3,401,010,000"
2018-06-13,"2,787.94","2,791.47","2,774.65","2,775.63","2,775.63","3,779,230,000"
2018-06-14,"2,783.21","2,789.06","2,776.52","2,782.49","2,782.49","3,526,890,000"
2018-06-15,"2,777.78","2,782.81","2,761.73","2,779.66","2,779.66","5,428,790,000"
2018-06-18,"2,765.79","2,774.99","2,757.12","2,773.75","2,773.75","3,287,150,000"
2018-06-19,"2,752.01","2,765.05","2,743.19","2,762.59","2,762.59","3,661,470,000"
2018-06-20,"2,769.73","2,774.86","2,763.91","2,767.32","2,767.32","3,327,600,000"
2018-06-21,"2,769.28","2,769.28","2,744.39","2,749.76","2,749.76","3,300,060,000"
2018-06-22,"2,760.79","2,764.17","2,752.68","2,754.88","2,754.88","5,450,550,000"
2018-06-25,"2,742.94","2,742.94","2,698.67","2,717.07","2,717.07","3,655,080,000"
2018-06-26,"2,722.12","2,732.91","2,715.60","2,723.06","2,723.06","3,555,090,000"
2018-06-27,"2,728.45","2,746.09","2,699.38","2,699.63","2,699.63","3,776,090,000"
2018-06-28,"2,698.69","2,724.34","2,691.99","2,716.31","2,716.31","3,428,140,000"
2018-06-29,"2,727.13","2,743.26","2,718.03","2,718.37","2,718.37","3,565,620,000"
2018-07-02,"2,704.95","2,727.26","2,698.95","2,726.71","2,726.71","3,073,650,000"
2018-07-03,"2,733.27","2,736.58","2,711.16","2,713.22","2,713.22","1,911,470,000"
