Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,115.24,121.42,114.72,119.31,119.31,271703008.0
2018-04-03,119.51,136.45,118.58,134.47,134.47,375408992.0
2018-04-04,133.91,134.61,116.58,118.41,118.41,380351008.0
2018-04-05,118.21,121.29,114.47,119.13,119.13,294022016.0
2018-04-06,118.82,119.93,112.79,113.15,113.15,233190000.0
2018-04-07,113.14,119.38,113.1,116.26,116.26,211470000.0
2018-04-08,116.29,118.55,115.95,117.67,117.67,194664000.0
2018-04-09,117.78,122.43,113.32,114.99,114.99,260171008.0
2018-04-10,115.21,115.4,112.52,114.26,114.26,202879008.0
2018-04-11,114.29,119.09,113.33,118.29,118.29,230068992.0
2018-04-12,118.29,129.34,113.55,129.34,129.34,587510976.0
2018-04-13,129.27,133.04,124.06,125.35,125.35,458040000.0
2018-04-14,125.22,129.34,124.77,126.29,126.29,258806000.0
2018-04-15,126.67,132.04,126.67,132.04,132.04,274427008.0
2018-04-16,131.97,132.63,125.24,128.34,128.34,290855008.0
2018-04-17,128.71,139.65,128.71,132.93,132.93,532336000.0
2018-04-18,132.38,140.85,132.38,140.0,140.0,381161984.0
2018-04-19,140.04,146.87,138.96,146.3,146.3,408736000.0
2018-04-20,146.5,155.72,143.84,155.54,155.54,491945984.0
2018-04-21,155.68,156.61,142.18,148.93,148.93,482924000.0
2018-04-22,148.61,152.23,145.31,146.77,146.77,338735008.0
2018-04-23,146.67,152.77,146.67,152.25,152.25,376060000.0
2018-04-24,152.57,165.94,152.57,165.78,165.78,643558016.0
2018-04-25,165.09,165.09,142.59,144.76,144.76,613467008.0
2018-04-26,144.7,153.82,142.64,153.68,153.68,412436992.0
2018-04-27,153.44,153.62,145.9,145.9,145.9,386742016.0
2018-04-28,145.74,153.33,145.74,152.3,152.3,337116992.0
2018-04-29,152.16,155.62,148.9,153.63,153.63,388081984.0
2018-04-30,153.65,154.08,147.87,148.48,148.48,341396992.0
2018-05-01,148.34,148.54,143.94,148.49,148.49,342152000.0
2018-05-02,148.45,152.89,146.98,151.58,151.58,354656992.0
2018-05-03,151.86,164.0,151.01,161.46,161.46,617984000.0
2018-05-04,160.47,170.38,157.94,168.79,168.79,633054976.0
2018-05-05,168.35,181.63,168.35,177.76,177.76,741246016.0
2018-05-06,178.02,182.88,166.18,171.8,171.8,626270016.0
2018-05-07,171.76,171.92,158.93,164.88,164.88,573281024.0
2018-05-08,164.83,167.98,158.16,159.62,159.62,466308992.0
2018-05-09,159.62,159.62,152.6,157.05,157.05,448136000.0
2018-05-10,157.15,160.34,149.34,149.87,149.87,426694016.0
2018-05-11,149.45,149.45,134.73,137.12,137.12,530416000.0
2018-05-12,137.26,144.42,132.59,141.88,141.88,410184992.0
2018-05-13,141.8,147.25,137.65,144.59,144.59,383224000.0
2018-05-14,144.62,152.15,136.07,147.71,147.71,584222016.0
